order_item_id,order_id,product_id,quantity,unit_price
1,1,98,1,12384.57
2,1,80,2,27401.27
3,2,88,3,48004.49
4,2,57,3,21935.06
5,3,150,1,7113.49
6,3,129,5,577.07
7,4,39,3,33931.85
8,4,89,3,4655.22
9,5,116,3,6378.97
10,5,108,3,13549.63
11,6,60,2,33321.91
12,6,60,1,33321.91
13,7,70,1,3243.71
14,7,56,1,33257.92
15,8,87,5,45649.01
16,8,21,5,55484.17
17,9,31,3,11490.6
18,9,132,3,3011.07
19,10,61,3,44878.78
20,10,1,4,52539.0
21,11,33,5,21649.9
22,11,39,3,33931.85
23,12,138,1,13863.67
24,12,71,5,3528.52
25,13,17,5,36162.26
26,13,65,2,8035.55
27,14,114,2,5726.03
28,14,61,2,44878.78
29,15,18,2,73820.52
30,15,53,5,26871.05
31,16,98,3,12384.57
32,16,87,4,45649.01
33,17,142,3,12489.82
34,17,16,2,2931.99
35,18,36,1,29242.97
36,18,137,1,11390.83
37,19,96,2,6710.71
38,19,140,3,8987.09
39,20,127,5,1177.88
40,20,40,4,19403.2
41,21,95,1,15378.47
42,21,55,2,18034.1
43,22,72,4,49059.06
44,22,84,1,5359.51
45,23,140,2,8987.09
46,23,95,5,15378.47
47,24,26,3,72907.28
48,24,112,1,17873.14
49,25,43,1,14873.86
50,25,30,3,12993.37
51,26,11,4,69215.46
52,26,130,2,5954.55
53,27,71,1,3528.52
54,27,2,4,4930.4
55,28,114,1,5726.03
56,28,108,1,13549.63
57,29,26,1,72907.28
58,29,144,2,11019.62
59,30,29,4,8346.58
60,30,62,3,6674.42
61,31,145,4,11360.29
62,31,52,2,26084.73
63,32,25,3,53524.51
64,32,93,2,11413.05
65,33,62,5,6674.42
66,33,119,3,19868.15
67,34,52,1,26084.73
68,34,127,3,1177.88
69,35,34,5,2255.17
70,35,97,1,3939.13
71,36,48,2,12824.52
72,36,66,1,31441.05
73,37,13,1,54402.04
74,37,35,3,33010.69
75,38,147,2,14301.36
76,38,127,3,1177.88
77,39,139,1,4159.23
78,39,137,2,11390.83
79,40,88,1,48004.49
80,40,12,2,9596.51
81,41,38,5,30726.82
82,41,122,3,6970.32
